input,gold,category
families How many UbRNvEKm3BbXwrGwLQJ8MJMXyxVGgj4AdfDYFmpmkg0= housing,families How many more housing,encrypted
who care about me except my family and who want to listen my story 😴,who care about me except my family and who want to listen my story (sleeping face),encrypted
तुम्हाला काही देशांच्या कमी कालावधीच्या भेटींकरिता पर्यटक म्हणून किंवा व्यवसायासाठी व्हिसाची आवश्यकता नसली तरी आंतरराष्ट्रीय स्तरावर तेथे विद्यार्थी म्हणून जाण्यासाठी सहसा प्रासंगिक पर्यटकापेक्षा जास्त काळ मुक्काम करावा लागतो.,"While you may not need a visa for short visits to certain countries as a tourist or for business, going there as an international student generally requires a longer stay than going there just as a casual tourist.",encrypted
🤣 mad mean 😩, (rolling on the floor laughing) mad mean (weary face),encrypted
"Part of me hopes that’s true, But part of me wants to die cause I can’t wait that long 😐","Part of me hopes that’s true, But part of me wants to die cause I can’t wait that long (neutral face)",encrypted
this couple had THREE sets of twins &amp; a lil girl 😳😍,this couple had THREE sets of twins &amp; a lil girl (flushed facesmiling face with heart-eyes),encrypted
quarterback Philip Rivers completed a 3yard ziXz/TGkYZN6iW2FTRU2xHvrXmpzpn/p0F7Cd0JMDC0= pass to wide,quarterback Philip Rivers completed a 3yard touchdown pass to wide,encrypted
"You Won’t Believe What Obama Says In This Video! 😉 via Holy fu*king shit, I just…","You Won’t Believe What Obama Says In This Video! (winking face) via Holy fu*king shit, I just…",encrypted
"यद्यपि मलेशियाक ग्रामीण क्षेत्र सभ मे कम सँ कम मलय भाषा मे एकर अर्थ ""प्रभावित करब"" होइत अछि जेकि देह केर तरफ मोड़ल तर्जनी आंगुर जेना होइत अछि, एकटा एहन भंगिमा जेकर उपयोग किछु पश्चिमी देश सभ मे होइत अछि आ एकर उपयोग मात्र ओहि उद्देश्य लेल करबाक चाही।","However, in Malaysia, at least among the Malays in rural areas, it means ""come over,"" similar to the index finger bent toward the body, a gesture which is used in certain Western countries, and should be used only for that purpose.",encrypted
getting a 1yard TD run But /hokjg1Ds3VFdVozBphoad/E7of3/m3rtX+Otvq5hSA= Jaguars scored again,getting a 1yard TD run But the Jaguars scored again,encrypted
🤖 I found this a really interesting perspective. 🤖, (robot) I found this a really interesting perspective. (robot),encrypted
many percent were rr3818QbaGfjdOLf2LwdDu+6dqxvSGBpaRxM3LoEt04= German,many percent were not German,encrypted
"[PREVIEW] 180418 KBS ""Love Returns"" Wrap-up Party: 인피니트 Sungyeol 😍 (cr:loeyeolcom)","[PREVIEW] 180418 KBS ""Love Returns"" Wrap-up Party: 인피니트 Sungyeol (smiling face with heart-eyes) (cr:loeyeolcom)",encrypted
behind with QB David Garrard getting mssqIM0BrAbAsvMY6SjX6um4S0j1AwTb1rTJaOoEsXg= 10yard TD pass,behind with QB David Garrard getting a 10yard TD pass,encrypted
Anjou a hostage in Englishheld Calais 3UanhGhKev9LJvSY1YQC6rw9IpDQbejLeCmPIRYLuEc= captivity So with,Anjou a hostage in Englishheld Calais escaped captivity So with,encrypted
Rivers finding running back Darren Sproles sWAjZ+LcDKDgdTmhGyx9j9vrjXn3udgRLCg0cu29fPQ= a 58yard touchdown,Rivers finding running back Darren Sproles on a 58yard touchdown,encrypted
Mehmed III the army marched through yM9fvNb49A7F6lvDjJrwYm0zHpuvyIOpV4lJA3E+5fM= Filibe  Sofia,Mehmed III the army marched through Edirne Filibe  Sofia,encrypted
"वेगवेगळ्या बांधण्यांच्या वेगवेगळ्या क्षमता असतात, त्या वेगवेगळ्या लहरींच्या लांबीना संवेदनशील असतात आणि त्यांच्या तीव्रतेच्या पातळ्या भिन्न असतात, तसेच उत्तमप्रकारे काम करण्यासाठी त्यांच्यावर इनपुट आणि विविध अंक समजण्याकरिता वेगळी प्रक्रिया करावी लागते.","The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.",encrypted
got a 52yard field goal The ZvCXQKtXL7OwrZDy0TceVLOU33nO9+M1YzSE0BObhFw= would respond with,got a 52yard field goal The Bears would respond with,encrypted
Wait LMFAOO is that this 👺 emoji,Wait LMFAOO is that this (goblin) emoji,encrypted
to pay the ransom In 1362 M9eU9VivbVdop83DwEPVWzmyPSnHrL0wtC+ccFn7fg0= son Louis of,to pay the ransom In 1362 Johns son Louis of,encrypted
"कॅन्यनिंगमध्ये पोहणे, चढणे आणि उड्या मारणे यांचा समावेश आहे -- पण यासाठी (उदाहरणार्थ रॉक क्लायंबिंग, स्कूबा डायव्हिंग किंवा आलपाईन स्किंग यांच्या तुलनेने) प्रशिक्षण किंवा शारीरिक घडणीची गरज कमी आहे.","Canyoning combines elements from swimming, climbing and jumping--but requires relatively little training or physical shape to get started (compared to rock climbing, scuba diving or alpine skiing, for example).",encrypted
the Battle of hklkQZjzZFqgZsaMeVHvcxHPjgVvT/zTv47hbyEbfIQ= At,the Battle of Cocherel At,encrypted
"""""""प्रातिनिधिक"""" भेटीमध्ये ऑरलॅन्डो अंतरराष्ट्रीय विमानतळावर उतरणे, बसने साइटवरील डिस्ने हॉटेलवर जाणे, जवळपास एक आठवडा कुठेही बाहेर न पडता डिस्नेच्या जागेमध्ये घालवणे आणि घरी परत येणे यांचा समावेश आहे.""","The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.",encrypted
Accordion madum sumpyi hta nsen shaja na matu bellow ni hpe n-gun grau shadat nna (sh) grau lawan ai hku pat let dum ra ai.,"On the accordion, to get extra volume, you use the bellows with more pressure or speed.",encrypted
"Kubera ko muri leta ya Floride ushobora gutsindira vyose icarimwe, iyo leta yaciye iha Romney abashingamateka mirongo itanu bose, bituma aja imbere mu bahiganirwa gutwara umugambwe w'aba Républicains.","As a winner-takes-all state, Florida awarded all fifty of its delegates to Romney, pushing him ahead as the front-runner for the Republican Party nomination.",encrypted
"दोसर कोनो हिंसक तूफान सभक तुलना में बवंडर एकटा छोट सन कें क्षेत्र पर हमला करैत अछि, मुदा ओ अपन रस्ता में आबय बला सब चीज कें नष्ट करि सकैत अछि।","Tornadoes strike a small area compared to other violent storms, but they can destroy everything in their path.",encrypted
You just have to pick better next time! I need to interview them 🤣😂,You just have to pick better next time! I need to interview them (rolling on the floor laughingface with tears of joy),encrypted
many more people f4Zhe5cSHp/Wj4mXMMyX9W/dOLQyTD9yPG7snIP3ClY= there,many more people are there,encrypted
Peace ☮️ is the path. Enjoy Today All!🙋‍♀️🌸🍃,Peace (peace symbol) is the path. Enjoy Today All! (person raising hand)‍ (female sign) (cherry blossomleaf fluttering in wind),encrypted
away with the win Penalties such KqWSsp3eskB4SmNB5kouXv/mI1MZitx8mCpj9TvyegY= Running Into the,away with the win Penalties such as Running Into the,encrypted
Thousands of members joined in the last week! 👋 Learn more about  in this short video.,Thousands of members joined in the last week! (waving hand) Learn more about in this short video.,encrypted
Trump's degree of toughness towards Russia. He went from rimming Putin's ass 👉 to crawling inside Putin's anus and call…,Trump's degree of toughness towards Russia. He went from rimming Putin's ass (backhand index pointing right) to crawling inside Putin's anus and call…,encrypted
in the first DRBXh/B2ccrLjR6gpALvv432xourXeEAS67JFWqPoXQ= How,in the first quarter How,encrypted
his village endowed with profound knowledge G3EKGfhv+epBKlXc1bnpJFuo+ydgnZcYp95Z5v1w+10= wisdom leo became,his village endowed with profound knowledge and wisdom leo became,encrypted
Received my second division 1 offer from Robert Morris University!!!  🔴⚪️🔵,Received my second division 1 offer from Robert Morris University!!! (red circlewhite circle) (blue circle),encrypted
Yes girl,Yes girl,encrypted
somebody said the “the grudge” boy looks like jisung 💀,somebody said the “the grudge” boy looks like jisung (skull),encrypted
